heuristic,switch_size,max_queue_length,simulation_length,packet_delay_average,packet_delay_variance,packet_delay_max,packet_delay_min,queue_length_average,queue_length_variance,queue_length_max,queue_length_min,permutation_matrix_amount_average,permutation_matrix_amount_variance,permutation_matrix_amount_max,permutation_matrix_amount_min,throughput_average,throughput_variance,throughput_max,throughput_min
GLJD,2,10,5,0.4798206278026906,0.5545255283637314,3.0,0.0,0.7966666666666666,0.4619888888888889,4.0,0.0,2.0,0.0,2.0,2.0,0.7433333333333333,0.014455555555555558,1.0,0.4
GLJD,2,10,10,0.9208333333333333,1.2562326388888887,5.0,0.0,1.2516666666666667,0.9316638888888887,5.0,0.0,2.0,0.0,2.0,2.0,0.8,0.007833333333333335,1.0,0.65
GLJD,2,10,15,1.2864864864864864,2.6287363038714386,13.0,0.0,1.6322222222222222,1.490295061728395,7.0,0.0,2.0,0.0,2.0,2.0,0.8222222222222222,0.006469135802469137,0.9666666666666667,0.6666666666666666
GLJD,2,10,20,1.6071428571428572,3.5103458049886624,13.0,0.0,1.9766666666666666,2.0577888888888887,9.0,0.0,2.0,0.0,2.0,2.0,0.84,0.004441666666666667,0.975,0.65
GLJD,2,10,25,1.8764568764568765,5.2427013545894665,23.0,0.0,2.264666666666667,2.5972848888888893,10.0,0.0,2.0,0.0,2.0,2.0,0.858,0.004622666666666666,0.98,0.62
GLJD,2,10,30,2.1209213051823417,6.47866018766509,23.0,0.0,2.512777777777778,3.008725617283951,10.0,0.0,2.0,0.0,2.0,2.0,0.8683333333333334,0.0033953703703703685,0.9833333333333333,0.6833333333333333
GLJD,2,10,35,2.3159912376779848,7.893030151073276,30.0,0.0,2.7714285714285714,3.523945578231292,10.0,0.0,2.0,0.0,2.0,2.0,0.8695238095238095,0.0032072562358276637,0.9714285714285714,0.7142857142857143
GLJD,2,10,40,2.5744274809160306,9.61755215313793,30.0,0.0,3.0204166666666667,4.052499826388889,10.0,0.0,2.0,0.0,2.0,2.0,0.8733333333333333,0.003205555555555556,0.9625,0.7125
GLJD,2,10,45,2.879594423320659,12.985502497104514,34.0,0.0,3.257037037037037,4.5620801097393695,10.0,0.0,2.0,0.0,2.0,2.0,0.8766666666666667,0.003443209876543211,0.9666666666666667,0.6666666666666666
GLJD,2,10,50,3.117358490566038,14.764717550729797,34.0,0.0,3.4713333333333334,4.971844888888889,10.0,0.0,2.0,0.0,2.0,2.0,0.8833333333333333,0.003015555555555556,0.97,0.7
GLJD,2,10,55,3.296688289518607,16.551443453877887,39.0,0.0,3.6724242424242424,5.339057759412306,10.0,0.0,2.0,0.0,2.0,2.0,0.8875757575757575,0.002575665748393022,0.9727272727272728,0.7181818181818181
GLJD,2,10,60,3.522947236965345,19.40776252828069,52.0,0.0,3.8658333333333332,5.68783263888889,10.0,0.0,2.0,0.0,2.0,2.0,0.8897222222222223,0.0022624228395061725,0.95,0.7416666666666667
GLJD,2,10,65,3.6894374282433984,20.617098535407393,52.0,0.0,4.047948717948718,5.991803484549638,10.0,0.0,2.0,0.0,2.0,2.0,0.8933333333333333,0.002121236028928337,0.9538461538461539,0.7384615384615385
GLJD,2,10,70,3.8594206749933564,22.3328816202688,60.0,0.0,4.2230952380952385,6.2842761337868485,10.0,0.0,2.0,0.0,2.0,2.0,0.8959523809523807,0.0018254535147392286,0.9571428571428572,0.7571428571428571
GLJD,2,10,75,4.000494559841741,23.686448815746864,60.0,0.0,4.385111111111111,6.536356098765433,10.0,0.0,2.0,0.0,2.0,2.0,0.8986666666666667,0.00198637037037037,0.96,0.7333333333333333
